,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,sourcerank,show,sourcerank_placing,license
83,Argus,salesforce/Argus,event-analytics,https://github.com/salesforce/Argus,https://github.com/salesforce/Argus,2015-10-26 20:17:17+00:00,2019-11-05 03:04:41+00:00,2019-08-21 15:04:42+00:00,111.0,44.0,47.0,424,3068.0,2018-10-07 02:04:57+00:00,2.21.3,,,20.0,Time series monitoring and alerting platform.,,,54,17,True,3,BSD-3-Clause
84,Zenko,scality/Zenko,data-integration,https://github.com/scality/Zenko,https://github.com/scality/Zenko,2017-06-07 00:53:14+00:00,2019-11-07 23:55:43+00:00,2019-11-07 22:09:49+00:00,46.0,11.0,32.0,267,433.0,2019-08-16 18:52:58+00:00,1.1.3,244.0,15.0,21.0,Zenko is the open source multi-cloud data controller: own and keep..,,,38,17,True,3,Apache-2.0
85,chronix.server,ChronixDB/chronix.server,data-storage,https://github.com/ChronixDB/chronix.server,https://github.com/ChronixDB/chronix.server,2015-10-02 11:04:02+00:00,2019-11-07 19:44:39+00:00,2019-11-07 19:44:15+00:00,26.0,12.0,71.0,251,585.0,2019-08-24 18:38:50+00:00,0.5.1,1849.0,39.0,13.0,The Chronix Server implementation that is based on Apache Solr.,,,12,17,True,3,Apache-2.0
86,AI-Blocks,MrNothing/AI-Blocks,dev-environments,https://github.com/MrNothing/AI-Blocks,https://github.com/MrNothing/AI-Blocks,2017-10-16 10:51:25+00:00,2019-10-22 15:38:33+00:00,2019-10-22 15:38:22+00:00,198.0,2.0,14.0,1721,158.0,2017-12-13 09:50:55+00:00,1.5.3-beta,2961.0,118.0,11.0,A powerful and intuitive WYSIWYG interface that allows anyone to..,,,4,16,False,2,
87,sqlite,mackyle/sqlite,data-storage,https://github.com/mackyle/sqlite,https://github.com/mackyle/sqlite,2013-05-31 08:13:04+00:00,2019-11-08 09:45:09+00:00,2019-11-07 14:51:24+00:00,437.0,2.0,,1444,21171.0,,,,,,Unofficial git mirror of SQLite sources (see link for build..,,,28,16,False,3,
88,cuisine,sebastien/cuisine,remote-executions,https://github.com/sebastien/cuisine,https://github.com/sebastien/cuisine,2011-02-28 20:26:37+00:00,2018-02-27 14:58:41+00:00,2018-02-27 14:58:26+00:00,155.0,24.0,80.0,1242,424.0,,,,,,Chef-like functionality for Fabric.,123.0,123.0,56,16,False,3,
89,Ackee,electerious/Ackee,event-analytics,https://github.com/electerious/Ackee,https://github.com/electerious/Ackee,2014-04-16 08:08:37+00:00,2019-11-05 15:30:25+00:00,2019-11-05 15:12:07+00:00,55.0,7.0,30.0,1088,626.0,2019-11-05 15:32:36+00:00,1.4.0,,,5.0,"Self-hosted, Node.js based analytics tool for those who care about..",,,5,16,True,3,MIT
90,incubator-hudi,apache/incubator-hudi,others,https://github.com/apache/incubator-hudi,https://github.com/apache/incubator-hudi,2016-12-14 15:53:41+00:00,2019-11-08 17:28:10+00:00,2019-11-07 16:42:48+00:00,251.0,44.0,383.0,716,607.0,2019-05-29 03:05:37+00:00,hoodie-0.4.7,,,8.0,Upserts And Incremental Processing on Big Data.,,,65,16,True,3,Apache-2.0
91,metron,apache/metron,others,https://github.com/apache/metron,https://github.com/apache/metron,2015-12-08 08:00:05+00:00,2019-11-06 20:42:03+00:00,2019-11-05 01:30:41+00:00,466.0,28.0,,694,1431.0,,,,,,Apache Metron.,,,78,16,True,3,Apache-2.0
92,aurora,apache/aurora,others,https://github.com/apache/aurora,https://github.com/apache/aurora,2013-11-05 08:00:13+00:00,2019-11-07 21:55:06+00:00,2019-11-07 21:55:05+00:00,221.0,11.0,23.0,622,4080.0,,,,,,"Apache Aurora - A Mesos framework for long-running services, cron..",,,137,16,True,3,Apache-2.0
93,modeldb,mitdbg/modeldb,others,https://github.com/mitdbg/modeldb,https://github.com/mitdbg/modeldb,2016-10-19 01:07:26+00:00,2019-05-13 02:40:11+00:00,2019-02-21 20:58:15+00:00,151.0,60.0,28.0,792,1109.0,,,,,,A system to manage machine learning models.,4.0,4.0,19,15,True,3,MIT
94,rapidminer-studio,rapidminer/rapidminer-studio,business-intelligence,https://github.com/rapidminer/rapidminer-studio,https://github.com/rapidminer/rapidminer-studio,2015-08-26 10:57:00+00:00,2019-11-07 10:38:58+00:00,2019-11-07 10:25:04+00:00,171.0,10.0,19.0,317,47.0,2019-11-07 10:40:32+00:00,9.5.0,,,24.0,Easy-to-use visual environment for predictive analytics. No..,,,6,15,True,3,AGPL-3.0
95,orc,apache/orc,others,https://github.com/apache/orc,https://github.com/apache/orc,2015-05-06 07:00:05+00:00,2019-11-06 15:47:10+00:00,2019-11-05 18:55:19+00:00,217.0,14.0,,292,578.0,,,,,,Mirror of Apache Orc.,,,73,15,True,3,Apache-2.0
96,knox,apache/knox,others,https://github.com/apache/knox,https://github.com/apache/knox,2014-03-01 08:00:06+00:00,2019-11-08 15:37:58+00:00,2019-11-08 02:59:32+00:00,130.0,4.0,,90,2078.0,,,,,,Mirror of Apache Knox.,3.0,3.0,54,15,False,3,Apache-2.0
97,traildb,traildb/traildb,data-storage,https://github.com/traildb/traildb,https://github.com/traildb/traildb,2014-08-12 07:34:48+00:00,2019-11-01 23:30:51+00:00,2019-11-01 23:28:08+00:00,61.0,32.0,28.0,967,784.0,,,,,,TrailDB is an efficient tool for storing and querying series of..,,,23,14,True,3,MIT
98,brat,nlplab/brat,data-labeling,https://github.com/nlplab/brat,https://github.com/nlplab/brat,2011-01-28 05:37:55+00:00,2019-10-22 11:53:14+00:00,2019-07-12 13:17:28+00:00,322.0,433.0,851.0,916,3164.0,,,,,,brat rapid annotation tool (brat) - for all your textual annotation..,,,29,14,False,1,
99,graphexp,bricaud/graphexp,data-viz,https://github.com/bricaud/graphexp,https://github.com/bricaud/graphexp,2017-06-17 15:34:26+00:00,2019-09-25 17:27:14+00:00,2019-09-25 17:27:01+00:00,110.0,27.0,28.0,401,100.0,2018-04-16 16:03:48+00:00,0.8.0,,,3.0,Interactive visualization of the Gremlin graph database with D3.js.,,,17,14,True,3,Apache-2.0
100,knime-core,knime/knime-core,business-intelligence,https://github.com/knime/knime-core,https://github.com/knime/knime-core,2017-03-07 22:43:59+00:00,2019-11-08 12:59:17+00:00,2019-11-07 15:10:27+00:00,66.0,,,209,17161.0,,,,,,KNIME Analytics Platform.,,,71,14,False,3,
101,rakam,rakam-io/rakam,event-analytics,https://github.com/rakam-io/rakam,https://github.com/rakam-io/rakam,2014-01-16 15:17:09+00:00,2019-10-31 18:02:23+00:00,2019-08-20 14:32:17+00:00,100.0,8.0,68.0,745,1674.0,,,,,,An analytics platform that makes easy to create custom analytics..,,,14,13,True,3,AGPL-3.0
102,sqoop,apache/sqoop,data-integration,https://github.com/apache/sqoop,https://github.com/apache/sqoop,2011-08-04 07:00:07+00:00,2019-10-16 15:12:51+00:00,2019-10-16 12:47:01+00:00,407.0,11.0,,646,,,,,,,Mirror of Apache Sqoop.,,,39,13,True,3,Apache-2.0
103,giraph,apache/giraph,data-storage,https://github.com/apache/giraph,https://github.com/apache/giraph,2011-08-28 07:00:33+00:00,2019-11-06 23:39:23+00:00,2019-11-06 19:35:09+00:00,262.0,23.0,,529,,,,,,,Mirror of Apache Giraph.,17.0,17.0,52,13,False,3,
104,akutan,eBay/akutan,data-storage,https://github.com/eBay/akutan,https://github.com/eBay/akutan,2019-04-04 22:32:19+00:00,2019-07-18 23:39:49+00:00,2019-07-18 23:39:48+00:00,72.0,18.0,8.0,1444,41.0,,,,,,A distributed knowledge graph store.,,,6,12,True,3,Apache-2.0
105,pig,apache/pig,data-processing,https://github.com/apache/pig,https://github.com/apache/pig,2009-05-21 01:10:43+00:00,2019-07-03 17:53:30+00:00,2019-07-03 17:53:20+00:00,436.0,23.0,,587,,,,,,,Mirror of Apache Pig.,,,33,12,True,3,Apache-2.0
106,eliasdb,krotik/eliasdb,data-storage,https://github.com/krotik/eliasdb,https://github.com/krotik/eliasdb,2016-08-13 13:53:28+00:00,2019-10-29 20:27:13+00:00,2019-09-07 12:42:43+00:00,24.0,2.0,12.0,549,77.0,2019-03-05 17:11:02+00:00,1.0.0,11.0,1.0,1.0,EliasDB is a graph-based database.,,,4,12,True,3,MPL-2.0
107,aerospike-server,aerospike/aerospike-server,data-storage,https://github.com/aerospike/aerospike-server,https://github.com/aerospike/aerospike-server,2018-03-08 00:59:46+00:00,2019-11-08 14:16:51+00:00,2019-10-29 22:58:15+00:00,62.0,5.0,5.0,342,449.0,,,,,,"Aerospike Database Server flash-optimized, in-memory, nosql database.",,,29,12,False,3,
108,cascading,cwensel/cascading,others,https://github.com/cwensel/cascading,https://github.com/cwensel/cascading,2009-02-04 17:52:06+00:00,2019-10-10 20:20:49+00:00,2019-10-10 20:20:17+00:00,229.0,2.0,3.0,306,1017.0,,,,,,Cascading is a feature rich API for defining and executing complex..,,,15,12,False,3,
109,terminus-server,terminusdb/terminus-server,data-storage,https://github.com/terminusdb/terminus-server,https://github.com/terminusdb/terminus-server,2019-07-23 16:15:27+00:00,2019-11-08 16:58:32+00:00,2019-11-05 09:23:07+00:00,4.0,16.0,12.0,146,391.0,2019-10-07 14:47:54+00:00,1.0.1,,,2.0,open source model driven graph database for knowledge graph..,,,8,12,True,3,GPL-3.0
110,via,ox-vgg/via,data-labeling,https://github.com/ox-vgg/via,https://github.com/ox-vgg/via,2017-02-01 10:53:56+00:00,2019-10-11 12:42:01+00:00,2019-08-20 12:44:43+00:00,27.0,4.0,,70,766.0,,,,,,(MIRROR) a standalone image annotator application packaged as a..,,,10,12,False,2,BSD-2-Clause
