,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,sourcerank,show,sourcerank_placing,license
12,matomo,matomo-org/matomo,event-analytics,https://github.com/matomo-org/matomo,https://github.com/matomo-org/matomo,2011-03-30 21:18:17+00:00,2019-11-08 09:15:41+00:00,2019-11-08 03:50:24+00:00,1893.0,1736.0,8803.0,12305,26110.0,2019-10-29 04:24:27+00:00,3.12.0,,,100.0,Liberating Web Analytics. Star us on Github? +1. Matomo is the..,7.0,7.0,298,24,True,2,GPL-3.0
13,fluentd,fluent/fluentd,others,https://github.com/fluent/fluentd,https://github.com/fluent/fluentd,2011-06-19 08:41:40+00:00,2019-11-08 05:03:40+00:00,2019-11-08 04:13:41+00:00,992.0,239.0,1063.0,8504,5050.0,,,,,,Fluentd: Unified Logging Layer (project under CNCF).,2599.0,2599.0,206,24,True,2,Apache-2.0
14,thanos,thanos-io/thanos,data-storage,https://github.com/thanos-io/thanos,https://github.com/thanos-io/thanos,2017-11-01 17:38:03+00:00,2019-11-08 15:53:38+00:00,2019-11-08 09:45:43+00:00,561.0,260.0,432.0,4597,1103.0,2019-10-14 12:37:01+00:00,0.8.1,55855.0,3103.0,21.0,Highly available Prometheus setup with long term storage..,,,161,24,True,1,Apache-2.0
15,opentsdb,OpenTSDB/opentsdb,data-storage,https://github.com/OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,2010-08-27 02:05:20+00:00,2019-11-08 06:05:16+00:00,2019-05-29 13:46:47+00:00,1049.0,471.0,506.0,3915,1642.0,2018-12-17 02:38:32+00:00,2.4.0,4746480.0,63286.0,25.0,"A scalable, distributed Time Series Database.",,,158,24,False,1,LGPL-2.1
16,kairosdb,kairosdb/kairosdb,data-storage,https://github.com/kairosdb/kairosdb,https://github.com/kairosdb/kairosdb,2013-02-05 22:27:48+00:00,2019-10-25 21:54:37+00:00,2019-10-25 21:54:32+00:00,308.0,134.0,287.0,1490,1187.0,2018-11-10 04:04:05+00:00,1.2.2,384584.0,5916.0,14.0,Fast scalable time series database.,26.0,26.0,75,24,True,1,Apache-2.0
17,oh-my-zsh,robbyrussell/oh-my-zsh,others,https://github.com/robbyrussell/oh-my-zsh,https://github.com/robbyrussell/oh-my-zsh,2009-08-28 18:15:37+00:00,2019-11-08 14:42:04+00:00,2019-11-08 14:42:02+00:00,17969.0,777.0,2874.0,98262,5358.0,,,,,,"A delightful community-driven (with 1,300+ contributors) framework..",,,1743,23,True,2,MIT
18,seaweedfs,chrislusf/seaweedfs,file-systems,https://github.com/chrislusf/seaweedfs,https://github.com/chrislusf/seaweedfs,2014-07-14 16:41:37+00:00,2019-11-08 12:28:12+00:00,2019-10-31 15:58:45+00:00,1164.0,27.0,839.0,8714,2701.0,2019-10-12 07:06:52+00:00,1.44,24030.0,436.0,41.0,SeaweedFS is a simple and highly scalable distributed file system...,,,99,23,True,1,Apache-2.0
19,thrift,apache/thrift,data-serialization,https://github.com/apache/thrift,https://github.com/apache/thrift,2009-09-18 08:00:17+00:00,2019-11-08 17:49:27+00:00,2019-11-08 09:02:00+00:00,3120.0,18.0,,6932,5830.0,2019-10-16 21:13:07+00:00,0.13.0,468.0,42.0,3.0,Apache Thrift.,,,394,23,True,2,Apache-2.0
20,bullet3,bulletphysics/bullet3,ml-applications,https://github.com/bulletphysics/bullet3,https://github.com/bulletphysics/bullet3,2011-04-12 18:45:08+00:00,2019-11-07 21:01:05+00:00,2019-11-07 19:50:53+00:00,1477.0,414.0,713.0,5561,7869.0,2018-12-31 21:03:07+00:00,2.88,5292.0,115.0,5.0,Bullet Physics SDK: real-time collision detection and multi-physics..,364.0,364.0,216,23,False,1,
21,pulsar,apache/pulsar,others,https://github.com/apache/pulsar,https://github.com/apache/pulsar,2016-06-28 07:00:03+00:00,2019-11-08 15:04:49+00:00,2019-11-08 06:15:35+00:00,1065.0,571.0,996.0,4413,4012.0,2019-09-04 05:43:06+00:00,2.4.1,3578.0,91.0,38.0,Apache Pulsar - distributed pub-sub messaging system.,5.0,5.0,180,23,True,2,Apache-2.0
22,gpdb,greenplum-db/gpdb,data-storage,https://github.com/greenplum-db/gpdb,https://github.com/greenplum-db/gpdb,2015-10-23 00:25:17+00:00,2019-11-08 17:37:16+00:00,2019-11-08 17:35:26+00:00,1014.0,246.0,1051.0,3600,54092.0,2019-11-02 02:18:49+00:00,6.1.0,6700.0,2233.0,5.0,Greenplum Database.,,,293,23,False,2,
23,serving,knative/serving,model-deployment,https://github.com/knative/serving,https://github.com/knative/serving,2018-01-24 22:07:44+00:00,2019-11-08 17:51:20+00:00,2019-11-08 11:15:55+00:00,470.0,319.0,1792.0,2414,3267.0,,,250554.0,15659.0,20.0,"Kubernetes-based, scale-to-zero, request-driven compute.",,,155,23,True,1,Apache-2.0
24,telegraf,influxdata/telegraf,event-analytics,https://github.com/influxdata/telegraf,https://github.com/influxdata/telegraf,2015-04-01 16:28:44+00:00,2019-11-08 12:10:51+00:00,2019-11-08 01:39:19+00:00,2917.0,846.0,2975.0,7615,4331.0,2019-10-23 20:30:53+00:00,1.12.4,,,71.0,The plugin-driven server agent for collecting & reporting metrics.,,,683,22,True,2,MIT
25,elastalert,Yelp/elastalert,event-analytics,https://github.com/Yelp/elastalert,https://github.com/Yelp/elastalert,2014-11-24 19:39:19+00:00,2019-11-07 08:19:38+00:00,2019-09-27 21:58:28+00:00,1309.0,918.0,847.0,6264,2051.0,2015-06-25 22:12:51+00:00,0.0.52,,,1.0,Easy & Flexible Alerting With ElasticSearch.,16.0,16.0,246,22,True,2,Apache-2.0
26,couchdb,apache/couchdb,data-storage,https://github.com/apache/couchdb,https://github.com/apache/couchdb,2009-05-21 02:03:38+00:00,2019-11-07 17:24:01+00:00,2019-11-06 22:55:06+00:00,812.0,229.0,685.0,4346,11864.0,2019-01-02 19:34:55+00:00,2.3.0,950.0,59.0,4.0,Apache CouchDB.,,,196,22,True,2,Apache-2.0
27,atlas,Netflix/atlas,data-storage,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas,2014-08-05 05:23:04+00:00,2019-11-06 23:27:19+00:00,2019-11-06 23:27:18+00:00,208.0,29.0,148.0,2511,1606.0,2019-08-28 17:44:58+00:00,1.6.3,10272.0,174.0,42.0,In-memory dimensional time series database.,,,23,22,True,2,Apache-2.0
28,m3,m3db/m3,data-storage,https://github.com/m3db/m3,https://github.com/m3db/m3,2016-06-14 20:29:45+00:00,2019-11-08 17:17:33+00:00,2019-11-07 15:22:13+00:00,206.0,283.0,182.0,2314,2631.0,2019-10-25 03:59:18+00:00,0.14.2,12936.0,718.0,40.0,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine,..",,,57,22,True,2,Apache-2.0
29,avro,apache/avro,data-serialization,https://github.com/apache/avro,https://github.com/apache/avro,2009-05-21 02:48:37+00:00,2019-11-08 13:50:53+00:00,2019-11-06 12:04:35+00:00,921.0,41.0,,1427,2150.0,2019-09-13 09:54:59+00:00,release-1.9.0,,,9.0,Apache Avro.,29.0,29.0,156,22,True,2,Apache-2.0
30,tinkerpop,apache/tinkerpop,data-integration,https://github.com/apache/tinkerpop,https://github.com/apache/tinkerpop,2015-02-07 08:00:05+00:00,2019-11-08 12:23:59+00:00,2019-11-08 12:23:36+00:00,498.0,15.0,,978,15940.0,,,,,,Apache TinkerPop - a graph computing framework.,195.0,195.0,150,22,True,2,Apache-2.0
31,cockroach,cockroachdb/cockroach,data-storage,https://github.com/cockroachdb/cockroach,https://github.com/cockroachdb/cockroach,2014-02-06 00:18:47+00:00,2019-11-08 17:01:50+00:00,2019-11-08 16:07:52+00:00,1964.0,2687.0,18802.0,17293,42438.0,2017-11-27 13:44:38+00:00,1.1.2,,,17.0,"CockroachDB - the open source, cloud-native SQL database.",,,314,21,False,2,
32,presto,prestodb/presto,data-integration,https://github.com/prestodb/presto,https://github.com/prestodb/presto,2012-08-09 01:03:37+00:00,2019-11-08 17:13:57+00:00,2019-11-08 10:09:58+00:00,3193.0,991.0,3045.0,9819,16463.0,,,,,,The official home of the Presto distributed SQL query engine for big..,1.0,1.0,440,21,True,2,Apache-2.0
33,foundationdb,apple/foundationdb,data-storage,https://github.com/apple/foundationdb,https://github.com/apple/foundationdb,2017-12-14 01:40:42+00:00,2019-11-08 17:39:37+00:00,2019-11-06 22:37:49+00:00,754.0,331.0,281.0,9590,7506.0,2019-11-06 17:05:24+00:00,6.2.8,,,66.0,"FoundationDB - the open source, distributed, transactional key-value..",,,108,21,True,2,Apache-2.0
34,tikv,tikv/tikv,data-storage,https://github.com/tikv/tikv,https://github.com/tikv/tikv,2015-12-31 04:51:32+00:00,2019-11-08 15:33:37+00:00,2019-11-08 07:15:11+00:00,923.0,556.0,959.0,6308,4158.0,2019-11-04 07:07:34+00:00,2.1.18,,,69.0,"Distributed transactional key-value database, originally created to..",,,199,21,True,2,Apache-2.0
35,EventStore,EventStore/EventStore,data-storage,https://github.com/EventStore/EventStore,https://github.com/EventStore/EventStore,2012-09-17 17:22:49+00:00,2019-11-08 13:13:03+00:00,2019-11-01 13:15:31+00:00,503.0,222.0,765.0,3516,5594.0,2019-11-06 09:34:35+00:00,oss-v5.0.4,540.0,7.0,59.0,The stream database optimised for event sourcing.,515.0,515.0,106,21,False,2,
36,camel,apache/camel,data-integration,https://github.com/apache/camel,https://github.com/apache/camel,2009-05-21 00:25:36+00:00,2019-11-08 16:01:32+00:00,2019-11-08 16:01:28+00:00,3776.0,5.0,,2949,40363.0,,,,,,Apache Camel.,8.0,8.0,782,21,True,2,Apache-2.0
37,embulk,embulk/embulk,data-integration,https://github.com/embulk/embulk,https://github.com/embulk/embulk,2014-09-16 03:58:52+00:00,2019-11-03 02:16:46+00:00,2019-11-03 02:16:42+00:00,161.0,166.0,252.0,1348,2659.0,2019-10-03 07:38:51+00:00,0.9.19,87820.0,7983.0,100.0,Embulk: Pluggable Bulk Data Loader.,,,49,21,False,2,
38,drill,apache/drill,data-integration,https://github.com/apache/drill,https://github.com/apache/drill,2012-09-05 07:00:26+00:00,2019-11-08 16:34:56+00:00,2019-11-06 09:44:28+00:00,727.0,86.0,,1305,3691.0,2018-12-31 18:37:33+00:00,drill-1.15.0,,,21.0,Apache Drill.,14.0,14.0,169,21,True,2,Apache-2.0
39,snappydata,SnappyDataInc/snappydata,data-storage,https://github.com/SnappyDataInc/snappydata,https://github.com/SnappyDataInc/snappydata,2015-09-16 10:36:36+00:00,2019-11-08 14:35:04+00:00,2019-11-08 13:08:58+00:00,178.0,88.0,112.0,934,3931.0,2019-08-28 13:52:50+00:00,1.1.1,17763.0,394.0,18.0,"Project SnappyData - memory optimized analytics database, based on..",,,78,21,True,2,Apache-2.0
40,server,nextcloud/server,others,https://github.com/nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14+00:00,2019-11-08 15:24:19+00:00,2019-11-08 08:19:59+00:00,1595.0,2103.0,6777.0,8822,51165.0,2018-05-29 14:46:01+00:00,theming-1.4.5,254.0,6.0,21.0,"Nextcloud server, a safe home for all your data.",,,811,20,False,2,
41,snappy,google/snappy,data-serialization,https://github.com/google/snappy,https://github.com/google/snappy,2014-03-03 21:58:09+00:00,2019-11-08 06:39:07+00:00,2019-11-08 06:39:04+00:00,648.0,23.0,,3775,218.0,2017-08-25 00:37:10+00:00,1.1.7,907275.0,17447.0,5.0,A fast compressor/decompressor.,,,31,20,False,3,
42,scalding,twitter/scalding,others,https://github.com/twitter/scalding,https://github.com/twitter/scalding,2012-01-10 16:22:08+00:00,2019-10-05 22:53:21+00:00,2019-10-03 22:07:30+00:00,674.0,306.0,313.0,3181,3634.0,2017-12-22 20:23:36+00:00,0.17.4,,,17.0,A Scala API for Cascading.,,,199,20,True,2,Apache-2.0
43,rmarkdown,rstudio/rmarkdown,dev-environments,https://github.com/rstudio/rmarkdown,https://github.com/rstudio/rmarkdown,2014-01-22 17:25:19+00:00,2019-11-07 22:32:38+00:00,2019-11-07 22:32:36+00:00,694.0,129.0,1092.0,1651,2589.0,2019-10-01 20:40:09+00:00,1.16,,,11.0,Dynamic Documents for R.,,,92,20,False,1,
44,incubator-doris,apache/incubator-doris,data-integration,https://github.com/apache/incubator-doris,https://github.com/apache/incubator-doris,2017-08-10 12:13:30+00:00,2019-11-08 13:19:28+00:00,2019-11-08 13:19:26+00:00,366.0,233.0,414.0,1403,1143.0,2019-10-29 07:15:18+00:00,0.11.0-rc01,,,5.0,Apache Doris (Incubating).,,,63,20,True,3,Apache-2.0
45,fabtools,fabtools/fabtools,remote-executions,https://github.com/fabtools/fabtools,https://github.com/fabtools/fabtools,2011-09-05 01:44:24+00:00,2019-09-16 09:19:01+00:00,2019-09-16 09:19:00+00:00,218.0,104.0,63.0,1200,939.0,,,,,,Tools for writing awesome Fabric files.,226.0,226.0,88,20,True,3,BSD-2-Clause
46,FiloDB,filodb/FiloDB,data-storage,https://github.com/filodb/FiloDB,https://github.com/filodb/FiloDB,2015-01-14 18:35:32+00:00,2019-11-07 22:45:39+00:00,2019-11-07 21:43:13+00:00,192.0,13.0,83.0,1156,1521.0,2019-10-10 03:43:18+00:00,0.8.7,,,6.0,Distributed Prometheus time series database.,,,47,20,True,2,Apache-2.0
47,pravega,pravega/pravega,data-integration,https://github.com/pravega/pravega,https://github.com/pravega/pravega,2016-07-11 19:41:03+00:00,2019-11-08 17:11:05+00:00,2019-11-08 05:53:00+00:00,191.0,337.0,2204.0,810,2413.0,2019-11-07 07:57:50+00:00,0.6.0,4279.0,142.0,33.0,Pravega - Streaming as a new software defined storage primitive.,,,56,20,True,3,Apache-2.0
48,firebird,FirebirdSQL/firebird,data-storage,https://github.com/FirebirdSQL/firebird,https://github.com/FirebirdSQL/firebird,2016-03-16 06:10:37+00:00,2019-11-08 17:16:41+00:00,2019-11-08 13:31:28+00:00,97.0,18.0,,368,54152.0,2019-06-24 10:31:07+00:00,R2_5_9,1419450.0,33010.0,11.0,"Firebird server, client and tools.",,,67,20,False,2,
49,snowplow,snowplow/snowplow,event-analytics,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,2012-03-01 13:02:21+00:00,2019-11-08 12:02:41+00:00,2019-09-13 07:09:27+00:00,1041.0,617.0,3201.0,4984,5965.0,2019-09-13 08:31:52+00:00,r116-madara-rider,,,79.0,"Cloud-native web, mobile and event analytics, running on AWS and GCP.",,,84,19,True,3,Apache-2.0
50,kryo,EsotericSoftware/kryo,data-serialization,https://github.com/EsotericSoftware/kryo,https://github.com/EsotericSoftware/kryo,2013-11-06 13:24:03+00:00,2019-10-09 19:11:48+00:00,2019-07-07 14:23:02+00:00,694.0,34.0,522.0,4349,1019.0,2019-04-14 19:43:49+00:00,kryo-parent-5.0.0-RC4,14972.0,207.0,14.0,"Java binary serialization and cloning: fast, efficient, automatic.",,,69,19,True,3,BSD-3-Clause
51,tarantool,tarantool/tarantool,data-storage,https://github.com/tarantool/tarantool,https://github.com/tarantool/tarantool,2010-09-15 07:59:26+00:00,2019-11-08 17:12:26+00:00,2019-11-08 16:52:00+00:00,203.0,865.0,3564.0,2253,13402.0,2019-11-06 15:13:05+00:00,2.1.3,434.0,7.0,22.0,Get your data in RAM. Get compute close to data. Enjoy the..,,,123,19,False,3,
52,delta,delta-io/delta,data-integration,https://github.com/delta-io/delta,https://github.com/delta-io/delta,2019-04-22 18:56:51+00:00,2019-11-07 13:25:39+00:00,2019-11-01 17:29:43+00:00,352.0,70.0,79.0,1851,211.0,2019-10-01 02:23:32+00:00,0.4.0,,,3.0,"An open-source storage layer that brings scalable, ACID transactions..",,,45,19,True,3,Apache-2.0
53,geode,apache/geode,data-integration,https://github.com/apache/geode,https://github.com/apache/geode,2015-04-30 07:00:05+00:00,2019-11-08 17:51:00+00:00,2019-11-08 12:11:36+00:00,542.0,26.0,,1651,8243.0,,,,,,Apache Geode.,,,167,19,True,3,Apache-2.0
54,sphinx,sphinxsearch/sphinx,data-storage,https://github.com/sphinxsearch/sphinx,https://github.com/sphinxsearch/sphinx,2015-06-06 19:15:17+00:00,2018-03-30 15:41:40+00:00,2018-03-30 15:41:40+00:00,338.0,20.0,,1555,4512.0,2016-09-08 15:54:25+00:00,2.3.2-beta,9848.0,196.0,3.0,Sphinx search server.,,,27,19,False,3,GPL-2.0
55,calcite,apache/calcite,data-integration,https://github.com/apache/calcite,https://github.com/apache/calcite,2014-06-25 07:00:07+00:00,2019-11-08 17:37:08+00:00,2019-11-08 17:37:06+00:00,959.0,131.0,,1533,3696.0,,,,,,Mirror of Apache Calcite.,3.0,3.0,274,19,True,3,Apache-2.0
56,VictoriaMetrics,VictoriaMetrics/VictoriaMetrics,data-storage,https://github.com/VictoriaMetrics/VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,2018-09-30 09:58:01+00:00,2019-11-07 10:09:35+00:00,2019-11-06 17:49:34+00:00,78.0,57.0,106.0,1351,492.0,2019-11-05 16:16:43+00:00,1.28.3,4527.0,411.0,100.0,"VictoriaMetrics - high-performance, cost-effective and scalable time..",,,12,19,True,3,Apache-2.0
57,elassandra,strapdata/elassandra,data-storage,https://github.com/strapdata/elassandra,https://github.com/strapdata/elassandra,2015-08-22 13:52:08+00:00,2019-10-23 19:45:21+00:00,2019-10-23 19:45:11+00:00,152.0,15.0,274.0,1325,,2019-10-18 20:21:25+00:00,6.2.3.21,11991.0,249.0,84.0,Elassandra = Elasticsearch + Apache Cassandra.,,,1083,19,True,3,Apache-2.0
58,parquet-mr,apache/parquet-mr,data-serialization,https://github.com/apache/parquet-mr,https://github.com/apache/parquet-mr,2014-06-10 07:00:07+00:00,2019-11-06 22:58:32+00:00,2019-10-25 23:05:58+00:00,798.0,82.0,,964,2120.0,,,,,,Apache Parquet.,49.0,49.0,148,19,True,3,Apache-2.0
59,tika,apache/tika,data-integration,https://github.com/apache/tika,https://github.com/apache/tika,2009-05-21 02:12:11+00:00,2019-11-05 18:00:09+00:00,2019-11-05 17:59:49+00:00,485.0,38.0,,900,4592.0,,,,,,Mirror of Apache Tika.,93.0,93.0,102,19,True,3,Apache-2.0
60,accumulo,apache/accumulo,data-storage,https://github.com/apache/accumulo,https://github.com/apache/accumulo,2011-10-06 07:00:09+00:00,2019-11-07 23:56:36+00:00,2019-11-07 23:56:35+00:00,290.0,123.0,275.0,760,10288.0,,,,,,Apache Accumulo.,13.0,13.0,136,19,True,3,Apache-2.0
61,phoenix,apache/phoenix,others,https://github.com/apache/phoenix,https://github.com/apache/phoenix,2014-06-04 07:00:08+00:00,2019-11-08 10:28:38+00:00,2019-11-07 19:27:03+00:00,695.0,184.0,,716,2990.0,,,,,,Mirror of Apache Phoenix.,46.0,46.0,137,19,True,2,Apache-2.0
62,goaccess,allinurl/goaccess,event-analytics,https://github.com/allinurl/goaccess,https://github.com/allinurl/goaccess,2013-07-14 03:42:08+00:00,2019-10-30 13:55:22+00:00,2019-10-30 13:55:21+00:00,703.0,262.0,1139.0,10126,2909.0,,,,,,GoAccess is a real-time web log analyzer and interactive viewer that..,,,103,18,True,3,MIT
63,memcached,memcached/memcached,data-storage,https://github.com/memcached/memcached,https://github.com/memcached/memcached,2009-04-24 23:34:25+00:00,2019-10-31 02:59:25+00:00,2019-10-01 01:42:33+00:00,2665.0,53.0,222.0,9465,1566.0,,,,,,memcached development tree.,,,193,18,False,3,
64,core,owncloud/core,others,https://github.com/owncloud/core,https://github.com/owncloud/core,2012-08-25 10:32:48+00:00,2019-11-08 16:57:08+00:00,2019-11-08 16:41:57+00:00,1920.0,1520.0,16820.0,6839,41377.0,,,,,,"ownCloud web server core (Files, DAV, etc.).",,,584,18,False,3,
65,kylin,apache/kylin,data-integration,https://github.com/apache/kylin,https://github.com/apache/kylin,2015-01-03 08:00:05+00:00,2019-11-08 06:47:08+00:00,2019-11-07 13:50:42+00:00,1088.0,25.0,,2420,7962.0,,,,,,Apache Kylin.,1.0,1.0,218,18,True,3,Apache-2.0
66,summingbird,twitter/summingbird,others,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,2012-09-25 22:38:35+00:00,2019-06-06 17:24:18+00:00,2019-02-11 23:10:34+00:00,264.0,161.0,134.0,2058,1701.0,2016-06-23 21:16:10+00:00,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,42,18,True,3,Apache-2.0
