,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
93,rapidminer-studio,rapidminer/rapidminer-studio,business-intelligence,https://github.com/rapidminer/rapidminer-studio,https://github.com/rapidminer/rapidminer-studio,2015-08-26 10:57:00+00:00,2019-11-07 10:38:58+00:00,2019-11-07 10:25:04+00:00,171.0,10.0,19.0,318,47.0,2019-11-07 10:40:32+00:00,9.5.0,,,24.0,Easy-to-use visual environment for predictive analytics. No..,,,6,15,True,3,AGPL-3.0,,,,,,,,,,,,,,,,
94,orc,apache/orc,others,https://github.com/apache/orc,https://github.com/apache/orc,2015-05-06 07:00:05+00:00,2019-11-06 15:47:10+00:00,2019-11-05 18:55:19+00:00,217.0,14.0,,293,578.0,,,,,,Mirror of Apache Orc.,,,73,15,True,3,Apache-2.0,,,,,,,,,,,,,,,,
95,jaas,alexellis/jaas,job-scheduler,https://github.com/alexellis/jaas,https://github.com/alexellis/jaas,2017-01-06 18:30:38+00:00,2019-09-27 21:17:58+00:00,2019-09-27 21:17:22+00:00,26.0,14.0,19.0,220,76.0,2019-09-27 21:00:44+00:00,1.1.0,,,7.0,Run jobs (tasks/one-shot containers) on Docker Swarm.,,,8,15,True,3,MIT,,,,,,,,,,,,,,,,
96,data-accelerator,microsoft/data-accelerator,others,https://github.com/microsoft/data-accelerator,https://github.com/microsoft/data-accelerator,2019-03-14 21:17:18+00:00,2019-11-07 22:53:31+00:00,2019-11-07 22:53:29+00:00,52.0,26.0,12.0,213,293.0,2019-10-11 00:32:51+00:00,#155,,,3.0,Data Accelerator for Apache Spark simplifies onboarding to Streaming..,,,19,15,True,3,MIT,,,,,,,,,,,,,,,,
97,knox,apache/knox,others,https://github.com/apache/knox,https://github.com/apache/knox,2014-03-01 08:00:06+00:00,2019-11-09 21:39:16+00:00,2019-11-09 21:04:34+00:00,131.0,4.0,,90,2092.0,,,,,,Mirror of Apache Knox.,3.0,3.0,54,15,False,3,Apache-2.0,,,,,,,,,,,,,,,,
98,traildb,traildb/traildb,data-storage,https://github.com/traildb/traildb,https://github.com/traildb/traildb,2014-08-12 07:34:48+00:00,2019-11-01 23:30:51+00:00,2019-11-01 23:28:08+00:00,61.0,32.0,28.0,967,784.0,,,,,,TrailDB is an efficient tool for storing and querying series of..,,,23,14,True,3,MIT,,,,,,,,,,,,,,,,
99,brat,nlplab/brat,data-labeling,https://github.com/nlplab/brat,https://github.com/nlplab/brat,2011-01-28 05:37:55+00:00,2019-10-22 11:53:14+00:00,2019-07-12 13:17:28+00:00,322.0,433.0,851.0,916,3164.0,,,,,,brat rapid annotation tool (brat) - for all your textual annotation..,,,29,14,False,1,,,,,,,,,,,,,,,,,
100,graphexp,bricaud/graphexp,data-viz,https://github.com/bricaud/graphexp,https://github.com/bricaud/graphexp,2017-06-17 15:34:26+00:00,2019-09-25 17:27:14+00:00,2019-09-25 17:27:01+00:00,110.0,27.0,28.0,402,100.0,2018-04-16 16:03:48+00:00,0.8.0,,,3.0,Interactive visualization of the Gremlin graph database with D3.js.,,,17,14,True,3,Apache-2.0,,,,,,,,,,,,,,,,
101,knime-core,knime/knime-core,business-intelligence,https://github.com/knime/knime-core,https://github.com/knime/knime-core,2017-03-07 22:43:59+00:00,2019-11-08 18:59:14+00:00,2019-11-07 22:49:21+00:00,66.0,,,209,17162.0,,,,,,KNIME Analytics Platform.,,,71,14,False,3,,,,,,,,,,,,,,,,,
102,rakam,rakam-io/rakam,event-analytics,https://github.com/rakam-io/rakam,https://github.com/rakam-io/rakam,2014-01-16 15:17:09+00:00,2019-10-31 18:02:23+00:00,2019-08-20 14:32:17+00:00,100.0,8.0,68.0,745,1674.0,,,,,,An analytics platform that makes easy to create custom analytics..,,,14,13,True,3,AGPL-3.0,,,,,,,,,,,,,,,,
103,giraph,apache/giraph,data-storage,https://github.com/apache/giraph,https://github.com/apache/giraph,2011-08-28 07:00:33+00:00,2019-11-08 19:36:39+00:00,2019-11-06 19:35:09+00:00,262.0,23.0,,529,,,,,,,Mirror of Apache Giraph.,17.0,17.0,52,13,False,3,,,,,,,,,,,,,,,,,
104,akutan,eBay/akutan,data-storage,https://github.com/eBay/akutan,https://github.com/eBay/akutan,2019-04-04 22:32:19+00:00,2019-07-18 23:39:49+00:00,2019-07-18 23:39:48+00:00,72.0,18.0,8.0,1444,41.0,,,,,,A distributed knowledge graph store.,,,6,12,True,3,Apache-2.0,,,,,,,,,,,,,,,,
105,pig,apache/pig,data-processing,https://github.com/apache/pig,https://github.com/apache/pig,2009-05-21 01:10:43+00:00,2019-07-03 17:53:30+00:00,2019-07-03 17:53:20+00:00,436.0,23.0,,587,,,,,,,Mirror of Apache Pig.,,,33,12,True,3,Apache-2.0,,,,,,,,,,,,,,,,
106,eliasdb,krotik/eliasdb,data-storage,https://github.com/krotik/eliasdb,https://github.com/krotik/eliasdb,2016-08-13 13:53:28+00:00,2019-10-29 20:27:13+00:00,2019-09-07 12:42:43+00:00,24.0,2.0,12.0,549,77.0,2019-03-05 17:11:02+00:00,1.0.0,11.0,1.0,1.0,EliasDB is a graph-based database.,,,4,12,True,3,MPL-2.0,,,,,,,,,,,,,,,,
107,aerospike-server,aerospike/aerospike-server,data-storage,https://github.com/aerospike/aerospike-server,https://github.com/aerospike/aerospike-server,2018-03-08 00:59:46+00:00,2019-11-08 14:16:51+00:00,2019-10-29 22:58:15+00:00,62.0,5.0,5.0,343,449.0,,,,,,"Aerospike Database Server flash-optimized, in-memory, nosql database.",,,29,12,False,3,,,,,,,,,,,,,,,,,
108,cascading,cwensel/cascading,others,https://github.com/cwensel/cascading,https://github.com/cwensel/cascading,2009-02-04 17:52:06+00:00,2019-10-10 20:20:49+00:00,2019-10-10 20:20:17+00:00,229.0,2.0,3.0,306,1017.0,,,,,,Cascading is a feature rich API for defining and executing complex..,,,15,12,False,3,,,,,,,,,,,,,,,,,
109,terminus-server,terminusdb/terminus-server,data-storage,https://github.com/terminusdb/terminus-server,https://github.com/terminusdb/terminus-server,2019-07-23 16:15:27+00:00,2019-11-08 16:58:32+00:00,2019-11-05 09:23:07+00:00,4.0,16.0,12.0,146,391.0,2019-10-07 14:47:54+00:00,1.0.1,,,2.0,open source model driven graph database for knowledge graph..,,,8,12,True,3,GPL-3.0,,,,,,,,,,,,,,,,
110,via,ox-vgg/via,data-labeling,https://github.com/ox-vgg/via,https://github.com/ox-vgg/via,2017-02-01 10:53:56+00:00,2019-10-11 12:42:01+00:00,2019-08-20 12:44:43+00:00,27.0,4.0,,70,766.0,,,,,,(MIRROR) a standalone image annotator application packaged as a..,,,10,12,False,2,BSD-2-Clause,,,,,,,,,,,,,,,,
111,SMART,RTIInternational/SMART,data-labeling,https://github.com/RTIInternational/SMART,https://github.com/RTIInternational/SMART,2018-09-27 18:53:25+00:00,2019-09-20 14:04:45+00:00,2019-09-20 14:04:44+00:00,9.0,5.0,4.0,64,845.0,2018-10-24 15:22:29+00:00,1.0.0,,,1.0,Smarter Manual Annotation for Resource-constrained collection of..,,,8,12,False,2,MIT,,,,,,,,,,,,,,,,
112,ai-lab,NVAITC/ai-lab,dev-environments,https://github.com/NVAITC/ai-lab,https://github.com/NVAITC/ai-lab,2018-09-15 12:44:21+00:00,2019-10-13 09:15:36+00:00,2019-10-13 09:15:21+00:00,7.0,5.0,15.0,63,244.0,2019-10-13 08:09:42+00:00,19.09,,,2.0,All-in-one AI container for rapid prototyping.,,,5,12,False,3,GPL-3.0,,,,,,,,,,,,,,,,
113,conquery,bakdata/conquery,db-gui,https://github.com/bakdata/conquery,https://github.com/bakdata/conquery,2017-07-12 05:52:05+00:00,2019-11-08 16:36:41+00:00,2019-11-06 10:27:55+00:00,5.0,84.0,55.0,18,247.0,2019-11-01 15:09:13+00:00,2.0.0-RC77,29.0,1.0,100.0,"Visual, interactive queries against big databases.",,,18,12,False,1,MIT,,,,,,,,,,,,,,,,
114,dl-docker,floydhub/dl-docker,dev-environments,https://github.com/floydhub/dl-docker,https://github.com/floydhub/dl-docker,2016-06-04 18:42:28+00:00,2019-08-21 20:18:27+00:00,2018-08-23 20:05:29+00:00,781.0,63.0,26.0,3669,53.0,,,,,,An all-in-one Docker image for deep learning. Contains all the..,,,11,11,False,3,,,,,,,,,,,,,,,,,
115,labnotebook,henripal/labnotebook,others,https://github.com/henripal/labnotebook,https://github.com/henripal/labnotebook,2018-02-20 20:17:48+00:00,2018-03-31 02:06:31+00:00,2018-03-29 14:14:25+00:00,38.0,5.0,8.0,527,43.0,,,,,,"LabNotebook is a tool that allows you to flexibly monitor, record,..",,,3,11,False,3,MIT,,,,,,,,,,,,,,,,
116,YEDDA,jiesutd/YEDDA,data-labeling,https://github.com/jiesutd/YEDDA,https://github.com/jiesutd/YEDDA,2016-01-08 07:33:27+00:00,2019-07-31 15:05:07+00:00,2019-07-31 15:05:00+00:00,147.0,5.0,21.0,479,115.0,,,,,,YEDDA: A Lightweight Collaborative Text Span Annotation Tool. Code..,,,3,11,True,3,Apache-2.0,,,,,,,,,,,,,,,,
117,derby,apache/derby,data-storage,https://github.com/apache/derby,https://github.com/apache/derby,2011-06-19 07:00:34+00:00,2019-08-18 23:22:01+00:00,2019-08-18 23:21:51+00:00,104.0,3.0,,200,,,,,,,Mirror of Apache Derby.,,,38,11,True,3,Apache-2.0,,,,,,,,,,,,,,,,
118,incubator-annotator,apache/incubator-annotator,data-labeling,https://github.com/apache/incubator-annotator,https://github.com/apache/incubator-annotator,2016-12-06 08:00:07+00:00,2019-11-06 22:02:41+00:00,2019-11-06 22:02:30+00:00,20.0,11.0,23.0,72,303.0,,,,,,"Apache Annotator provides annotation enabling code for browsers,..",,,6,11,False,3,Apache-2.0,,,,,,,,,,,,,,,,
119,FastAnnotationTool,christopher5106/FastAnnotationTool,data-labeling,https://github.com/christopher5106/FastAnnotationTool,https://github.com/christopher5106/FastAnnotationTool,2016-06-24 13:30:22+00:00,2019-01-17 11:05:33+00:00,2019-01-17 11:05:32+00:00,200.0,7.0,2.0,829,59.0,,,,,,"A tool using OpenCV to annotate images for image classification,..",,,4,10,False,3,,,,,,,,,,,,,,,,,
120,Open Semantic Search,opensemanticsearch/open-semantic-search,others,https://github.com/opensemanticsearch/open-semantic-search,https://github.com/opensemanticsearch/open-semantic-search,2016-03-30 15:51:03+00:00,2019-11-07 13:48:48+00:00,2019-11-07 13:48:37+00:00,22.0,83.0,130.0,214,58.0,,,,,,Open Semantic Search Engine and Open Source Text Mining & Text..,,,2,10,True,3,GPL-3.0,,,,,,,,,,,,,,,,
121,talen,CogComp/talen,data-labeling,https://github.com/CogComp/talen,https://github.com/CogComp/talen,2016-05-25 22:20:39+00:00,2019-11-02 20:39:14+00:00,2019-07-16 17:16:34+00:00,19.0,9.0,9.0,93,298.0,,,,,1.0,A way to do annotations for NER.,,,4,9,False,3,,,,,,,,,,,,,,,,,
122,turkey,yanfengliu/turkey,data-labeling,https://github.com/yanfengliu/turkey,https://github.com/yanfengliu/turkey,2018-09-30 02:18:21+00:00,2019-07-26 03:18:03+00:00,2019-07-24 04:16:46+00:00,1.0,,,46,102.0,,,,,,Easily create a web UI on Amazon Mechanical Turk to crowd-source..,,,2,7,False,3,MIT,,,,,,,,,,,,,,,,
123,notebooks,rlan/notebooks,dev-environments,https://github.com/rlan/notebooks,https://github.com/rlan/notebooks,2018-04-06 00:33:00+00:00,2019-10-31 13:09:53+00:00,2019-10-31 13:09:47+00:00,,4.0,42.0,15,147.0,,,,,,A docker starter kit for Jupyter notebooks and machine learning...,,,1,7,False,3,MIT,,,,,,,,,,,,,,,,
