,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
51,flyway,flyway/flyway,others,https://github.com/flyway/flyway,https://github.com/flyway/flyway,2012-12-14 18:43:22+00:00,2019-11-05 17:56:50+00:00,2019-11-05 09:45:16+00:00,945.0,208.0,1992.0,4596,2294.0,2019-10-30 14:57:27+00:00,flyway-6.0.8,,,40.0,Flyway by Boxfuse Database Migrations Made Easy.,18.0,18.0,138,19,False,2,,,,,,,,,,,,,,,,,
52,kryo,EsotericSoftware/kryo,data-serialization,https://github.com/EsotericSoftware/kryo,https://github.com/EsotericSoftware/kryo,2013-11-06 13:24:03+00:00,2019-10-09 19:11:48+00:00,2019-07-07 14:23:02+00:00,694.0,34.0,522.0,4350,1019.0,2019-04-14 19:43:49+00:00,kryo-parent-5.0.0-RC4,14974.0,207.0,14.0,"Java binary serialization and cloning: fast, efficient, automatic.",,,69,19,True,3,BSD-3-Clause,,,,,,,,,,,,,,,,
53,tarantool,tarantool/tarantool,data-storage,https://github.com/tarantool/tarantool,https://github.com/tarantool/tarantool,2010-09-15 07:59:26+00:00,2019-11-09 13:48:43+00:00,2019-11-09 06:46:42+00:00,203.0,865.0,3566.0,2254,13407.0,2019-11-06 15:13:05+00:00,2.1.3,434.0,7.0,22.0,Get your data in RAM. Get compute close to data. Enjoy the..,,,123,19,False,2,,,,,,,,,,,,,,,,,
54,sphinx,sphinxsearch/sphinx,data-storage,https://github.com/sphinxsearch/sphinx,https://github.com/sphinxsearch/sphinx,2015-06-06 19:15:17+00:00,2018-03-30 15:41:40+00:00,2018-03-30 15:41:40+00:00,338.0,20.0,,1556,4512.0,2016-09-08 15:54:25+00:00,2.3.2-beta,9853.0,197.0,3.0,Sphinx search server.,,,27,19,False,2,GPL-2.0,,,,,,,,,,,,,,,,
55,VictoriaMetrics,VictoriaMetrics/VictoriaMetrics,data-storage,https://github.com/VictoriaMetrics/VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,2018-09-30 09:58:01+00:00,2019-11-09 22:39:44+00:00,2019-11-09 22:38:59+00:00,78.0,57.0,106.0,1356,508.0,2019-11-05 16:16:43+00:00,1.28.3,4652.0,422.0,100.0,"VictoriaMetrics - high-performance, cost-effective and scalable time..",,,12,19,True,2,Apache-2.0,,,,,,,,,,,,,,,,
56,elassandra,strapdata/elassandra,data-storage,https://github.com/strapdata/elassandra,https://github.com/strapdata/elassandra,2015-08-22 13:52:08+00:00,2019-10-23 19:45:21+00:00,2019-10-23 19:45:11+00:00,152.0,16.0,274.0,1325,,2019-10-18 20:21:25+00:00,6.2.3.21,11996.0,249.0,84.0,Elassandra = Elasticsearch + Apache Cassandra.,,,1083,19,True,2,Apache-2.0,,,,,,,,,,,,,,,,
57,parquet-mr,apache/parquet-mr,data-serialization,https://github.com/apache/parquet-mr,https://github.com/apache/parquet-mr,2014-06-10 07:00:07+00:00,2019-11-06 22:58:32+00:00,2019-10-25 23:05:58+00:00,798.0,82.0,,964,2120.0,,,,,,Apache Parquet.,49.0,49.0,148,19,True,3,Apache-2.0,,,,,,,,,,,,,,,,
58,accumulo,apache/accumulo,data-storage,https://github.com/apache/accumulo,https://github.com/apache/accumulo,2011-10-06 07:00:09+00:00,2019-11-07 23:56:36+00:00,2019-11-07 23:56:35+00:00,289.0,125.0,275.0,761,10288.0,,,,,,Apache Accumulo.,13.0,13.0,136,19,True,2,Apache-2.0,,,,,,,,,,,,,,,,
59,phoenix,apache/phoenix,others,https://github.com/apache/phoenix,https://github.com/apache/phoenix,2014-06-04 07:00:08+00:00,2019-11-08 23:07:25+00:00,2019-11-07 19:27:03+00:00,694.0,184.0,,716,2990.0,,,,,,Mirror of Apache Phoenix.,46.0,46.0,137,19,True,2,Apache-2.0,,,,,,,,,,,,,,,,
60,swarm-cronjob,crazy-max/swarm-cronjob,job-scheduler,https://github.com/crazy-max/swarm-cronjob,https://github.com/crazy-max/swarm-cronjob,2018-12-13 21:16:14+00:00,2019-10-30 15:58:02+00:00,2019-10-30 15:57:59+00:00,20.0,3.0,14.0,218,96.0,2019-10-30 13:10:35+00:00,1.7.0,157.0,74739.0,11.0,Create jobs on a time-based schedule on Docker Swarm.,,,3,19,True,1,MIT,,,,,,crazymax/swarm-cronjob,https://hub.docker.com/r/crazymax/swarm-cronjob,2019-10-30 13:10:05.375654+00:00,4.0,821949.0,,,,,,
