,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,license,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
22,bullet3,bulletphysics/bullet3,ml-applications,https://github.com/bulletphysics/bullet3,https://github.com/bulletphysics/bullet3,2011-04-12 18:45:08+00:00,2019-11-09 04:45:06+00:00,2019-11-09 04:45:05+00:00,1477.0,414.0,715.0,5568,7877.0,2018-12-31 21:03:07+00:00,2.88,5292.0,115.0,5.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",365.0,365.0,216,23,False,1,,,,,,,,,,,,,,,,,,
23,Kubeless,kubeless/kubeless,faas,https://github.com/kubeless/kubeless,https://github.com/kubeless/kubeless,2016-11-16 09:03:03+00:00,2019-11-08 12:53:39.890141+00:00,2019-11-08 12:36:45+00:00,523.0,148.0,408.0,5208,999.0,2019-10-16 13:15:38+00:00,1.0.5,103705.0,44401.0,42.0,Kubernetes Native Serverless Framework.,,,89,23,True,3,,Apache-2.0,,,,,incubator/kubeless,kubeless/function-controller,https://hub.docker.com/r/kubeless/function-controller,2019-11-08 12:53:39.890141+00:00,1.0,1481829.0,,,,,,
24,pulsar,apache/pulsar,others,https://github.com/apache/pulsar,https://github.com/apache/pulsar,2016-06-28 07:00:03+00:00,2019-11-11 20:34:30+00:00,2019-11-11 05:43:45+00:00,1065.0,571.0,1003.0,4427,4019.0,2019-09-04 05:43:06+00:00,2.4.1,3579.0,91.0,38.0,Apache Pulsar - distributed pub-sub messaging system.,5.0,5.0,183,23,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
25,gpdb,greenplum-db/gpdb,data-storage,https://github.com/greenplum-db/gpdb,https://github.com/greenplum-db/gpdb,2015-10-23 00:25:17+00:00,2019-11-11 18:33:48+00:00,2019-11-09 03:00:50+00:00,1016.0,246.0,1051.0,3609,54094.0,2019-11-02 02:18:49+00:00,6.1.0,6833.0,2277.0,5.0,Greenplum Database.,,,293,23,False,2,,,,,,,,,,,,,,,,,,
26,serving,knative/serving,model-deployment,https://github.com/knative/serving,https://github.com/knative/serving,2018-01-24 22:07:44+00:00,2019-11-11 19:35:00+00:00,2019-11-11 17:03:21+00:00,486.0,309.0,1794.0,2429,3273.0,,,252634.0,15789.0,20.0,"Kubernetes-based, scale-to-zero, request-driven compute.",,,155,23,True,1,,Apache-2.0,,,,,,,,,,,,,,,,
27,telegraf,influxdata/telegraf,event-analytics,https://github.com/influxdata/telegraf,https://github.com/influxdata/telegraf,2015-04-01 16:28:44+00:00,2019-11-11 17:24:33+00:00,2019-11-08 20:13:34+00:00,2921.0,848.0,2977.0,7621,4335.0,2019-10-23 20:30:53+00:00,1.12.4,,,71.0,The plugin-driven server agent for collecting & reporting metrics.,,,684,22,True,2,,MIT,,,,,,,,,,,,,,,,
28,elastalert,Yelp/elastalert,event-analytics,https://github.com/Yelp/elastalert,https://github.com/Yelp/elastalert,2014-11-24 19:39:19+00:00,2019-11-07 08:19:38+00:00,2019-09-27 21:58:28+00:00,1309.0,919.0,847.0,6271,2051.0,2015-06-25 22:12:51+00:00,0.0.52,,,1.0,Easy & Flexible Alerting With ElasticSearch.,16.0,16.0,246,22,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
29,Fission,fission/fission,faas,https://github.com/fission/fission,https://github.com/fission/fission,2016-08-19 03:43:56+00:00,2019-11-11 19:05:26+00:00,2019-11-11 19:05:22+00:00,422.0,250.0,435.0,4746,1029.0,2019-10-10 18:45:30+00:00,1.6.0,44465.0,1533.0,34.0,Fast and Simple Serverless Functions for Kubernetes.,,,96,22,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
30,couchdb,apache/couchdb,data-storage,https://github.com/apache/couchdb,https://github.com/apache/couchdb,2009-05-21 02:03:38+00:00,2019-11-11 15:04:31+00:00,2019-11-06 22:55:06+00:00,812.0,232.0,685.0,4349,11864.0,2019-01-02 19:34:55+00:00,2.3.0,967.0,60.0,4.0,Apache CouchDB.,,,196,22,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
31,atlas,Netflix/atlas,data-storage,https://github.com/Netflix/atlas,https://github.com/Netflix/atlas,2014-08-05 05:23:04+00:00,2019-11-11 02:59:34+00:00,2019-11-11 02:59:32+00:00,208.0,29.0,149.0,2515,1608.0,2019-08-28 17:44:58+00:00,1.6.3,10279.0,174.0,42.0,In-memory dimensional time series database.,,,23,22,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
32,m3,m3db/m3,data-storage,https://github.com/m3db/m3,https://github.com/m3db/m3,2016-06-14 20:29:45+00:00,2019-11-11 19:08:00+00:00,2019-11-11 18:54:20+00:00,210.0,288.0,182.0,2323,2632.0,2019-10-25 03:59:18+00:00,0.14.2,12949.0,719.0,40.0,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible, Metrics Platform.",,,57,22,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
