,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at
27,pynlpl,proycon/pynlpl,nlp,https://github.com/proycon/pynlpl,https://github.com/proycon/pynlpl,GPL-3.0,2010-07-06 11:42:27+00:00,2019-03-13 18:03:41+00:00,2019-03-13 16:36:46+00:00,58.0,8.0,22.0,392.0,2158.0,2019-03-13 18:03:41+00:00,1.2.9,,,40.0,"PyNLPl, pronounced as 'pineapple', is a Python library for Natural..",11.0,16,True,1.0,39.0,39.0,,,
28,queries,gmr/queries,db-clients,https://github.com/gmr/queries,https://github.com/gmr/queries,BSD-3-Clause,2012-08-24 16:12:55+00:00,2019-06-27 20:20:12+00:00,2019-06-27 20:20:05+00:00,22.0,5.0,9.0,215.0,322.0,2018-01-29 19:13:34+00:00,2.0.0,,,1.0,PostgreSQL database access simplified.,10.0,16,True,1.0,63.0,63.0,,,
29,ktext,hamelsmu/ktext,nlp,https://github.com/hamelsmu/ktext,https://github.com/hamelsmu/ktext,MIT,2018-01-08 01:09:18+00:00,2019-09-12 22:13:39+00:00,2019-05-23 15:48:23+00:00,27.0,3.0,8.0,166.0,126.0,2019-05-15 05:00:22+00:00,0.40,,,17.0,Utilities for preprocessing text for deep learning with Keras.,2.0,16,True,1.0,380.0,380.0,,,
30,seq2seq,google/seq2seq,nlp,https://github.com/google/seq2seq,https://github.com/google/seq2seq,Apache-2.0,2017-03-02 22:49:20+00:00,2019-01-06 05:39:09+00:00,2017-04-17 21:57:07+00:00,1142.0,178.0,102.0,4987.0,880.0,,,,,,A general-purpose encoder-decoder framework for Tensorflow.,16.0,15,False,2.0,,,,,
31,NeuronBlocks,Microsoft/NeuronBlocks,nlp,https://github.com/microsoft/NeuronBlocks,https://github.com/microsoft/NeuronBlocks,MIT,2019-04-15 01:01:24+00:00,2019-10-18 13:07:54+00:00,2019-10-18 13:07:53+00:00,170.0,5.0,16.0,1237.0,114.0,,,,,4.0,NLP DNN Toolkit - Building Your NLP DNN Models Like Playing Lego.,11.0,15,True,2.0,,,,,
32,bigartm,bigartm/bigartm,nlp,https://github.com/bigartm/bigartm,https://github.com/bigartm/bigartm,,2014-09-15 20:26:11+00:00,2019-11-05 16:10:20+00:00,2019-10-07 14:55:37+00:00,93.0,129.0,204.0,462.0,1629.0,,,5259.0,84.0,28.0,Fast topic modeling platform.,43.0,15,False,2.0,,,,,
33,wikipedia2vec,wikipedia2vec/wikipedia2vec,nlp,https://github.com/wikipedia2vec/wikipedia2vec,https://github.com/wikipedia2vec/wikipedia2vec,,2015-10-26 10:37:06+00:00,2019-09-23 07:45:23+00:00,2019-09-21 08:20:15+00:00,31.0,3.0,33.0,425.0,266.0,2019-09-07 13:03:10+00:00,1.0.4,,,1.0,A tool for learning vector representations of words and entities..,5.0,15,False,2.0,17.0,17.0,,,
34,graphbrain,graphbrain/graphbrain,graph,https://github.com/graphbrain/graphbrain,https://github.com/graphbrain/graphbrain,MIT,2016-02-15 11:25:11+00:00,2019-09-28 16:51:18+00:00,2019-09-28 16:48:32+00:00,11.0,5.0,7.0,99.0,2543.0,2019-09-28 16:51:17+00:00,0.3.0,1.0,0.0,12.0,"Language, Knowledge, Cognition.",7.0,15,False,1.0,,,,,
35,funNLP,fighting41love/funNLP,language-specific-nlp,https://github.com/fighting41love/funNLP,https://github.com/fighting41love/funNLP,,2018-08-21 11:20:39+00:00,2019-10-15 13:35:10+00:00,2019-10-15 13:34:58+00:00,4210.0,2.0,12.0,14196.0,88.0,,,,,,//ITbert&cocoNLPXLORE:NLUcs224n /+ASR + Microsoft//api()SpaCy Common..,10.0,14,False,3.0,,,,,
36,py2neo,technige/py2neo,db-clients,https://github.com/technige/py2neo,https://github.com/technige/py2neo,Apache-2.0,2011-07-03 10:01:07+00:00,2019-08-14 02:05:28+00:00,2019-05-10 14:37:08+00:00,157.0,138.0,521.0,819.0,1054.0,,,,,,Py2neo is a comprehensive toolkit for working with Neo4j from within..,30.0,14,True,3.0,,,,,
37,pybacktest,ematvey/pybacktest,financial-data,https://github.com/ematvey/pybacktest,https://github.com/ematvey/pybacktest,MIT,2012-10-26 11:30:22+00:00,2019-09-09 08:28:12+00:00,2019-09-09 08:28:11+00:00,185.0,8.0,9.0,453.0,178.0,,,,,,"Vectorized backtesting framework in Python / pandas, designed to..",9.0,14,True,1.0,,,,,
38,mlcrate,mxbi/mlcrate,ml-utilities,https://github.com/mxbi/mlcrate,https://github.com/mxbi/mlcrate,MIT,2017-12-25 23:03:19+00:00,2018-12-31 17:29:26+00:00,2018-12-31 17:29:26+00:00,37.0,2.0,1.0,299.0,47.0,2018-09-23 12:02:45+00:00,0.2.0,6.0,0.0,2.0,"A python module of handy tools and functions, mainly for ML and..",2.0,14,True,1.0,17.0,17.0,,,
39,Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,image,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,MIT,2019-10-10 07:40:48+00:00,2019-11-06 00:57:17+00:00,2019-11-06 00:57:16+00:00,682.0,8.0,53.0,3556.0,112.0,,,,,,1MB lightweight face detection model (1MB).,5.0,13,True,1.0,,,,,
40,pinball,pinterest/pinball,data-pipelines,https://github.com/pinterest/pinball,https://github.com/pinterest/pinball,Apache-2.0,2015-03-04 03:13:18+00:00,2019-05-24 21:48:21+00:00,2019-03-19 03:58:08+00:00,127.0,11.0,23.0,1029.0,150.0,,,,,,Pinball is a scalable workflow manager.,28.0,13,True,3.0,1.0,1.0,,,
41,rlpyt,astooke/rlpyt,others,https://github.com/astooke/rlpyt,https://github.com/astooke/rlpyt,MIT,2019-04-28 18:29:02+00:00,2019-11-06 12:50:59+00:00,2019-10-25 05:06:43+00:00,131.0,21.0,35.0,1012.0,548.0,,,,,,Reinforcement Learning in PyTorch.,7.0,13,True,3.0,,,,,
42,NeMo,NVIDIA/NeMo,nlp,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42+00:00,2019-11-09 02:43:36+00:00,2019-11-07 18:16:09+00:00,76.0,6.0,13.0,810.0,282.0,,,,,2.0,Neural Modules: a toolkit for conversational AI.,19.0,13,True,3.0,,,,,
43,MachineLearningStocks,robertmartin8/MachineLearningStocks,financial-data,https://github.com/robertmartin8/MachineLearningStocks,https://github.com/robertmartin8/MachineLearningStocks,MIT,2017-02-12 04:50:44+00:00,2019-10-29 18:57:58+00:00,2019-10-29 18:57:50+00:00,179.0,3.0,23.0,470.0,82.0,,,,,,Using python and scikit-learn to make stock predictions.,4.0,13,True,3.0,,,,,
44,pypostal,openvenues/pypostal,geospatial-data,https://github.com/openvenues/pypostal,https://github.com/openvenues/pypostal,MIT,2016-01-26 07:07:50+00:00,2019-08-04 07:18:36+00:00,2019-08-04 06:59:20+00:00,44.0,17.0,29.0,349.0,83.0,2017-04-06 07:35:52+00:00,1.0,,,1.0,Python bindings to libpostal for fast international address..,4.0,13,True,1.0,31.0,31.0,,,
45,datasist,risenW/datasist,others,https://github.com/risenW/datasist,https://github.com/risenW/datasist,MIT,2019-07-10 18:19:47+00:00,2019-11-09 23:39:39+00:00,2019-11-09 23:39:38+00:00,25.0,2.0,4.0,46.0,179.0,2019-10-30 08:10:43+00:00,_01,,,2.0,Datasist abstract numerous techniques and functions used repeatedly..,10.0,13,False,3.0,,,datasist,https://pypi.org/project/datasist,2019-10-30 08:16:28+00:00
46,transfer-learning-conv-ai,huggingface/transfer-learning-conv-ai,nlp,https://github.com/huggingface/transfer-learning-conv-ai,https://github.com/huggingface/transfer-learning-conv-ai,MIT,2019-05-07 12:51:08+00:00,2019-10-21 18:11:46+00:00,2019-10-21 18:05:52+00:00,129.0,17.0,20.0,622.0,25.0,,,,,,State-of-the-Art Conversational AI with Transfer Learning.,6.0,12,True,3.0,,,,,
47,pytorch-struct,harvardnlp/pytorch-struct,others,https://github.com/harvardnlp/pytorch-struct,https://github.com/harvardnlp/pytorch-struct,MIT,2019-08-26 19:34:30+00:00,2019-11-08 22:52:43+00:00,2019-11-01 21:06:40+00:00,29.0,6.0,5.0,426.0,188.0,,,,,,"Fast, general, and tested differentiable structured prediction in..",5.0,12,True,3.0,,,,,
48,chazutsu,chakki-works/chazutsu,nlp,https://github.com/chakki-works/chazutsu,https://github.com/chakki-works/chazutsu,Apache-2.0,2017-05-08 05:14:43+00:00,2019-09-27 11:16:21+00:00,2019-09-27 11:16:12+00:00,24.0,1.0,6.0,203.0,96.0,,,,,,The tool to make NLP datasets ready to use.,2.0,12,True,3.0,8.0,8.0,,,
